n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
3,1,6,6,slike_geodesic_min/graf_geodesic_min_mu1_n3.png,slike_geodesic_max/graf_geodesic_max_mu1_n3.png,Bw,Bw
4,1,10,12,slike_geodesic_min/graf_geodesic_min_mu1_n4.png,slike_geodesic_max/graf_geodesic_max_mu1_n4.png,CV,C]
5,1,15,18,slike_geodesic_min/graf_geodesic_min_mu1_n5.png,slike_geodesic_max/graf_geodesic_max_mu1_n5.png,DC{,DEw
6,1,21,26,slike_geodesic_min/graf_geodesic_min_mu1_n6.png,slike_geodesic_max/graf_geodesic_max_mu1_n6.png,E?bw,E?zO
7,1,28,35,slike_geodesic_min/graf_geodesic_min_mu1_n7.png,slike_geodesic_max/graf_geodesic_max_mu1_n7.png,F?AFw,F?`v?
8,1,36,46,slike_geodesic_min/graf_geodesic_min_mu1_n8.png,slike_geodesic_max/graf_geodesic_max_mu1_n8.png,G??CF{,G?`Db_
9,1,45,58,slike_geodesic_min/graf_geodesic_min_mu1_n9.png,slike_geodesic_max/graf_geodesic_max_mu1_n9.png,H???CB~,H?ABAqW
4,2,11,11,slike_geodesic_min/graf_geodesic_min_mu2_n4.png,slike_geodesic_max/graf_geodesic_max_mu2_n4.png,C^,C^
5,2,15,20,slike_geodesic_min/graf_geodesic_min_mu2_n5.png,slike_geodesic_max/graf_geodesic_max_mu2_n5.png,DQ{,DFw
6,2,21,29,slike_geodesic_min/graf_geodesic_min_mu2_n6.png,slike_geodesic_max/graf_geodesic_max_mu2_n6.png,ECRw,EEj_
7,2,28,39,slike_geodesic_min/graf_geodesic_min_mu2_n7.png,slike_geodesic_max/graf_geodesic_max_mu2_n7.png,F?`Fw,FCpf?
8,2,36,53,slike_geodesic_min/graf_geodesic_min_mu2_n8.png,slike_geodesic_max/graf_geodesic_max_mu2_n8.png,G?AAF{,G?B@v_
9,2,45,71,slike_geodesic_min/graf_geodesic_min_mu2_n9.png,slike_geodesic_max/graf_geodesic_max_mu2_n9.png,H??CAB~,H??F?zW
4,3,10,10,slike_geodesic_min/graf_geodesic_min_mu3_n4.png,slike_geodesic_max/graf_geodesic_max_mu3_n4.png,C~,C~
5,3,15,19,slike_geodesic_min/graf_geodesic_min_mu3_n5.png,slike_geodesic_max/graf_geodesic_max_mu3_n5.png,DT{,D]w
6,3,21,32,slike_geodesic_min/graf_geodesic_min_mu3_n6.png,slike_geodesic_max/graf_geodesic_max_mu3_n6.png,ECfw,EEz_
7,3,28,44,slike_geodesic_min/graf_geodesic_min_mu3_n7.png,slike_geodesic_max/graf_geodesic_max_mu3_n7.png,F?aNw,FCZf?
8,3,36,60,slike_geodesic_min/graf_geodesic_min_mu3_n8.png,slike_geodesic_max/graf_geodesic_max_mu3_n8.png,G?ACN{,G?`vF?
9,3,45,77,slike_geodesic_min/graf_geodesic_min_mu3_n9.png,slike_geodesic_max/graf_geodesic_max_mu3_n9.png,H??CCF~,H?B@tao
5,4,17,19,slike_geodesic_min/graf_geodesic_min_mu4_n5.png,slike_geodesic_max/graf_geodesic_max_mu4_n5.png,DV{,D]{
6,4,21,33,slike_geodesic_min/graf_geodesic_min_mu4_n6.png,slike_geodesic_max/graf_geodesic_max_mu4_n6.png,EQjw,EFz_
7,4,28,47,slike_geodesic_min/graf_geodesic_min_mu4_n7.png,slike_geodesic_max/graf_geodesic_max_mu4_n7.png,FCQVw,F?zV_
8,4,36,62,slike_geodesic_min/graf_geodesic_min_mu4_n8.png,slike_geodesic_max/graf_geodesic_max_mu4_n8.png,G?`CV{,G?ovF_
